Timestamp,JCK-Floor 36-Focus Group 3631-temp,JCK-Floor 35-Focus Group 3515-humidity,JCK-Floor 33-Open Office 3369-pm25,JCK-Floor 35-IT 3544-co2,JCK-Floor 33-Open Office 3303-pm25,JCK-Floor 33-Open Office 3303-tvoc,JCK-Floor 35-Focus Group 3531-temp,JCK-Floor 36-Open Office 3651-pm25,JCK-Floor 36-Open Office 3651-temp,JCK-Floor 35-IT 3544-pm25,JCK-Floor 36-Open Office 3669-co2,JCK-Floor 33-Focus Group 3331-tvoc,JCK-Floor 35-Hub 3556-pm25,JCK-Floor 35-Focus Group 3531-humidity,JCK-Floor 35-Focus Group 3515-temp,JCK-Floor 36-Open Office 3669-tvoc,JCK-Floor 35-Focus Group 3531-co2,JCK-Floor 33-Open Office 3303-temp,JCK-Floor 33-Focus Group 3331-pm25,JCK-Floor 35-Focus Group 3515-co2,JCK-Floor 35-IT 3544-tvoc,JCK-Floor 36-Open Office 3669-pm25,JCK-Floor 33-Open Office 3369-tvoc,JCK-Floor 36-Focus Group 3631-tvoc,JCK-Floor 33-Focus Group 3331-temp,JCK-Floor 35-Focus Group 3531-pm25,JCK-Floor 36-Focus Group 3615-co2,JCK-Floor 36-Open Office 3651-co2,JCK-Floor 35-IT 3544-temp,JCK-Floor 36-Focus Group 3615-humidity,JCK-Floor 33-Open Office 3369-temp,JCK-Floor 35-Hub 3556-co2,JCK-Floor 35-Hub 3556-tvoc,JCK-Floor 35-IT 3544-humidity,JCK-Floor 33-Focus Group 3331-co2,JCK-Floor 33-Open Office 3351-pm25,JCK-Floor 35-Focus Group 3515-pm25,JCK-Floor 35-Hub 3556-humidity,JCK-Floor 33-Open Office 3351-co2,JCK-Floor 35-Focus Group 3531-tvoc,JCK-Floor 36-Open Office 3669-humidity,JCK-Floor 33-Open Office 3351-humidity,JCK-Floor 36-Focus Group 3631-co2,JCK-Floor 33-Open Office 3369-humidity,JCK-Floor 33-Open Office 3369-co2,JCK-Floor 36-Open Office 3651-tvoc,JCK-Floor 33-Focus Group 3331-humidity,JCK-Floor 36-Focus Group 3615-pm25,JCK-Floor 36-Focus Group 3615-tvoc,JCK-Floor 33-Open Office 3303-co2,JCK-Floor 36-Focus Group 3631-humidity,JCK-Floor 33-Open Office 3303-humidity,JCK-Floor 36-Focus Group 3631-pm25,JCK-Floor 33-Open Office 3351-tvoc,JCK-Floor 36-Focus Group 3615-temp,JCK-Floor 35-Focus Group 3515-tvoc,JCK-Floor 36-Open Office 3651-humidity,JCK-Floor 36-Open Office 3669-temp,JCK-Floor 35-Hub 3556-temp
2019-01-03T06:00:00-06:00 Chicago,21.549999237060547°C,26.3700008392334%RH,0.6000000238418579ppb,395ppm,0.20000000298023224ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.299999237060547°C,0ppb,425ppm,0.0689999982714653ppb,0ppb,25.969999313354492%RH,22.989999771118164°C,0.08399999886751175ppb,419ppm,20.760000228881836°C,11.199999809265137ppb,404ppm,0.13199999928474426ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.739999771118164°C,0.10000000149011612ppb,2165ppm,433ppm,22.5°C,29.260000228881836%RH,21.239999771118164°C,418ppm,0.1599999964237213ppb,27.040000915527344%RH,407ppm,"",0ppb,26.1200008392334%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",417ppm,26.899999618530273%RH,422ppm,0.125ppb,28.40999984741211%RH,9.600000381469727ppb,0.06599999964237213ppb,419ppm,27.889999389648438%RH,29.1299991607666%RH,4.800000190734863ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.700000762939453%RH,22.690000534057617°C,22.729999542236328°C
2019-01-03T06:01:00-06:00 Chicago,21.549999237060547°C,26.350000381469727%RH,0.699999988079071ppb,392ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.280000686645508°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,22.989999771118164°C,0.08399999886751175ppb,426ppm,20.760000228881836°C,10.899999618530273ppb,404ppm,0.13199999928474426ppb,0ppb,0.1120000034570694ppb,0.06199999898672104ppb,21.739999771118164°C,0.20000000298023224ppb,2166ppm,433ppm,22.530000686645508°C,29.299999237060547%RH,21.219999313354492°C,418ppm,0.1599999964237213ppb,27.040000915527344%RH,408ppm,"",0ppb,26.1200008392334%RH,"",0.07500000298023224ppb,27.81999969482422%RH,"",417ppm,26.950000762939453%RH,422ppm,0.125ppb,28.40999984741211%RH,9.5ppb,0.06800000369548798ppb,418ppm,27.889999389648438%RH,29.1299991607666%RH,4.599999904632568ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.670000076293945%RH,22.690000534057617°C,22.739999771118164°C
2019-01-03T06:02:00-06:00 Chicago,21.540000915527344°C,26.34000015258789%RH,0.699999988079071ppb,394ppm,0ppb,0.06599999964237213ppb,23.5°C,0ppb,24.270000457763672°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,23.010000228881836°C,0.08399999886751175ppb,424ppm,20.760000228881836°C,10.100000381469727ppb,403ppm,0.13199999928474426ppb,0ppb,0.11100000143051147ppb,0.06199999898672104ppb,21.739999771118164°C,0.20000000298023224ppb,2165ppm,431ppm,22.5°C,29.299999237060547%RH,21.219999313354492°C,420ppm,0.1599999964237213ppb,27.010000228881836%RH,408ppm,"",0ppb,26.1299991607666%RH,"",0.07500000298023224ppb,27.8700008392334%RH,"",416ppm,26.950000762939453%RH,423ppm,0.125ppb,28.40999984741211%RH,9.199999809265137ppb,0.06800000369548798ppb,418ppm,27.889999389648438%RH,29.1299991607666%RH,4.900000095367432ppb,"",19.899999618530273°C,0.06700000166893005ppb,25.719999313354492%RH,22.690000534057617°C,22.739999771118164°C
2019-01-03T06:03:00-06:00 Chicago,21.540000915527344°C,26.31999969482422%RH,0.699999988079071ppb,396ppm,0ppb,0.06599999964237213ppb,23.5°C,0ppb,24.280000686645508°C,0ppb,424ppm,0.0689999982714653ppb,0ppb,25.969999313354492%RH,22.979999542236328°C,0.08399999886751175ppb,421ppm,20.760000228881836°C,9.899999618530273ppb,403ppm,0.13199999928474426ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.739999771118164°C,0.10000000149011612ppb,2165ppm,431ppm,22.510000228881836°C,29.219999313354492%RH,21.219999313354492°C,421ppm,0.1599999964237213ppb,27.040000915527344%RH,408ppm,"",0ppb,26.06999969482422%RH,"",0.07500000298023224ppb,27.81999969482422%RH,"",417ppm,26.950000762939453%RH,422ppm,0.125ppb,28.40999984741211%RH,9.800000190734863ppb,0.06499999761581421ppb,418ppm,27.889999389648438%RH,29.1299991607666%RH,4.900000095367432ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.700000762939453%RH,22.690000534057617°C,22.760000228881836°C
2019-01-03T06:04:00-06:00 Chicago,21.549999237060547°C,26.3700008392334%RH,0.8999999761581421ppb,393ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.270000457763672°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.950000762939453%RH,23.010000228881836°C,0.08399999886751175ppb,421ppm,20.765000343322754°C,9.800000190734863ppb,405ppm,0.13199999928474426ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.75°C,0ppb,2165ppm,428ppm,22.5°C,29.219999313354492%RH,21.200000762939453°C,419ppm,0.1599999964237213ppb,27.09000015258789%RH,408ppm,"",0ppb,26.06999969482422%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",418ppm,26.950000762939453%RH,424ppm,0.125ppb,28.3700008392334%RH,10.600000381469727ppb,0.06599999964237213ppb,418ppm,27.889999389648438%RH,29.1299991607666%RH,5.099999904632568ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.739999771118164%RH,22.690000534057617°C,22.760000228881836°C
2019-01-03T06:05:00-06:00 Chicago,21.540000915527344°C,26.309999465942383%RH,0.6000000238418579ppb,400ppm,0ppb,0.06599999964237213ppb,23.5°C,0ppb,24.299999237060547°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,23.020000457763672°C,0.08399999886751175ppb,424ppm,20.770000457763672°C,9.800000190734863ppb,404ppm,0.13500000536441803ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2167ppm,427ppm,22.5°C,29.219999313354492%RH,21.200000762939453°C,419ppm,0.15700000524520874ppb,27.09000015258789%RH,408ppm,"",0ppb,26.079999923706055%RH,"",0.07100000232458115ppb,27.8700008392334%RH,"",417ppm,26.989999771118164%RH,423ppm,0.125ppb,28.3700008392334%RH,10.5ppb,0.06800000369548798ppb,418ppm,27.889999389648438%RH,29.1299991607666%RH,5.300000190734863ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.68000030517578%RH,22.690000534057617°C,22.760000228881836°C
2019-01-03T06:06:00-06:00 Chicago,21.540000915527344°C,26.31999969482422%RH,0.699999988079071ppb,391ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.309999465942383°C,0ppb,425ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,23.020000457763672°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,9.650000095367432ppb,404ppm,0.13899999856948853ppb,0ppb,0.1080000028014183ppb,0.06199999898672104ppb,21.744999885559082°C,0.20000000298023224ppb,2167ppm,430ppm,22.5°C,29.299999237060547%RH,21.200000762939453°C,418ppm,0.15700000524520874ppb,27.1299991607666%RH,408.5ppm,"",0ppb,26.049999237060547%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",417ppm,26.989999771118164%RH,422ppm,0.125ppb,28.3700008392334%RH,9.5ppb,0.06700000166893005ppb,418ppm,27.850000381469727%RH,29.1299991607666%RH,5.199999809265137ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.719999313354492%RH,22.690000534057617°C,22.770000457763672°C
2019-01-03T06:07:00-06:00 Chicago,21.530000686645508°C,26.31999969482422%RH,0.5ppb,391ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.270000457763672°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.950000762939453%RH,23.020000457763672°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,9.5ppb,402ppm,0.15700000524520874ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.739999771118164°C,0.20000000298023224ppb,2167ppm,428ppm,22.479999542236328°C,29.139999389648438%RH,21.200000762939453°C,417ppm,0.15700000524520874ppb,27.139999389648438%RH,409ppm,"",0.20000000298023224ppb,26.100000381469727%RH,"",0.07500000298023224ppb,27.8700008392334%RH,"",415ppm,26.989999771118164%RH,423ppm,0.125ppb,28.3700008392334%RH,9.5ppb,0.06499999761581421ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,5.300000190734863ppb,"",19.90999984741211°C,0.06700000166893005ppb,25.700000762939453%RH,22.68000030517578°C,22.780000686645508°C
2019-01-03T06:08:00-06:00 Chicago,21.530000686645508°C,26.34000015258789%RH,0.6000000238418579ppb,395ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.280000686645508°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,23.049999237060547°C,0.08399999886751175ppb,425ppm,20.760000228881836°C,9.399999618530273ppb,403ppm,0.1599999964237213ppb,0ppb,0.11100000143051147ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2167ppm,430ppm,22.5°C,29.34000015258789%RH,21.200000762939453°C,419ppm,0.15700000524520874ppb,27.200000762939453%RH,407ppm,"",0ppb,26.1200008392334%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",416ppm,26.989999771118164%RH,424ppm,0.12800000607967377ppb,28.3700008392334%RH,9.399999618530273ppb,0.06700000166893005ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,5.300000190734863ppb,"",19.899999618530273°C,0.06400000303983688ppb,25.770000457763672%RH,22.690000534057617°C,22.780000686645508°C
2019-01-03T06:09:00-06:00 Chicago,21.530000686645508°C,26.260000228881836%RH,0.699999988079071ppb,399ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.270000457763672°C,0ppb,425ppm,0.0689999982714653ppb,0ppb,25.889999389648438%RH,23.020000457763672°C,0.08399999886751175ppb,425ppm,20.760000228881836°C,10.399999618530273ppb,406ppm,0.16699999570846558ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2166ppm,428ppm,22.479999542236328°C,29.299999237060547%RH,21.209999084472656°C,416ppm,0.15700000524520874ppb,27.229999542236328%RH,408ppm,"",0ppb,26.040000915527344%RH,"",0.07500000298023224ppb,27.8700008392334%RH,"",415ppm,26.989999771118164%RH,423ppm,0.125ppb,28.3700008392334%RH,9.399999618530273ppb,0.06599999964237213ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,4.900000095367432ppb,"",19.899999618530273°C,0.06400000303983688ppb,25.700000762939453%RH,22.690000534057617°C,22.770000457763672°C
2019-01-03T06:10:00-06:00 Chicago,21.530000686645508°C,26.260000228881836%RH,0.699999988079071ppb,401ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.280000686645508°C,0ppb,425ppm,0.0689999982714653ppb,0ppb,25.889999389648438%RH,23.059999465942383°C,0.08399999886751175ppb,425ppm,20.760000228881836°C,10.399999618530273ppb,408ppm,0.18199999630451202ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2166ppm,428ppm,22.479999542236328°C,29.299999237060547%RH,21.209999084472656°C,416ppm,0.15700000524520874ppb,27.270000457763672%RH,408ppm,"",0ppb,26.040000915527344%RH,"",0.07500000298023224ppb,27.8700008392334%RH,"",415ppm,26.989999771118164%RH,423ppm,0.125ppb,28.3700008392334%RH,9.399999618530273ppb,0.06599999964237213ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,4.900000095367432ppb,"",19.899999618530273°C,0.06400000303983688ppb,25.68000030517578%RH,22.690000534057617°C,22.770000457763672°C
2019-01-03T06:11:00-06:00 Chicago,21.533334096272785°C,26.260000228881836%RH,0.6666666666666666ppb,401ppm,0ppb,0.06599999964237213ppb,23.53499984741211°C,0ppb,24.280000686645508°C,0ppb,425.3333333333333ppm,0.0689999982714653ppb,0ppb,25.899999618530273%RH,23.059999465942383°C,0.08399999886751175ppb,422ppm,20.760000228881836°C,10ppb,408ppm,0.18199999630451202ppb,0ppb,0.1096666653951009ppb,0.06199999898672104ppb,21.75°C,0.30000000447034836ppb,2165.3333333333335ppm,428ppm,22.479999542236328°C,29.299999237060547%RH,21.213332494099934°C,414.5ppm,0.1550000011920929ppb,27.270000457763672%RH,408ppm,"",0ppb,26.050000190734863%RH,"",0.07300000265240669ppb,27.853333791097004%RH,"",415ppm,26.976666768391926%RH,422.6666666666667ppm,0.125ppb,28.3700008392334%RH,9.433333079020182ppb,0.06666666766007741ppb,419.5ppm,27.850000381469727%RH,29.1299991607666%RH,4.733333428700765ppb,"",19.896666208902996°C,0.06400000303983688ppb,25.68000030517578%RH,22.693333943684895°C,22.78499984741211°C
2019-01-03T06:12:00-06:00 Chicago,21.536667505900063°C,26.25%RH,0.6333333452542622ppb,398.5ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.265000343322754°C,0ppb,425.66666666666663ppm,0.0689999982714653ppb,0ppb,25.90999984741211%RH,23.054999351501465°C,0.08399999886751175ppb,419ppm,20.760000228881836°C,9.600000381469727ppb,407ppm,0.18699999898672104ppb,0ppb,0.10933333138624826ppb,0.06199999898672104ppb,21.75°C,0.4000000059604645ppb,2164.666666666667ppm,429ppm,22.479999542236328°C,29.299999237060547%RH,21.21666590372721°C,413ppm,0.15299999713897705ppb,27.3100004196167%RH,408ppm,"",0.699999988079071ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.83666674296061%RH,"",415ppm,26.963333765665688%RH,422.33333333333337ppm,0.125ppb,28.3700008392334%RH,9.46666653951009ppb,0.06733333567778269ppb,419ppm,27.850000381469727%RH,29.1299991607666%RH,4.566666762034098ppb,"",19.89333279927572°C,0.0605000015348196ppb,25.699999809265137%RH,22.696667353312172°C,22.799999237060547°C
2019-01-03T06:13:00-06:00 Chicago,21.540000915527344°C,26.239999771118164%RH,0.6000000238418579ppb,396ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.25°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.90999984741211%RH,23.049999237060547°C,0.08399999886751175ppb,420ppm,20.75°C,9.5ppb,406ppm,0.19200000166893005ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.760000228881836°C,0.4000000059604645ppb,2164ppm,430ppm,22.479999542236328°C,29.299999237060547%RH,21.219999313354492°C,413ppm,0.15700000524520874ppb,27.350000381469727%RH,408ppm,"",1.399999976158142ppb,26.040000915527344%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",415ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,9.5ppb,0.06800000369548798ppb,419ppm,27.850000381469727%RH,29.1299991607666%RH,4.400000095367432ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.719999313354492%RH,22.700000762939453°C,22.770000457763672°C
2019-01-03T06:14:00-06:00 Chicago,21.530000686645508°C,26.209999084472656%RH,0.6000000238418579ppb,396ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.280000686645508°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.93000030517578%RH,23.059999465942383°C,0.08399999886751175ppb,424ppm,20.760000228881836°C,9.899999618530273ppb,402ppm,0.19599999487400055ppb,0ppb,0.10599999874830246ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2164ppm,428ppm,22.5°C,29.219999313354492%RH,21.219999313354492°C,416ppm,0.15700000524520874ppb,27.3700008392334%RH,408ppm,"",0.4000000059604645ppb,26.06999969482422%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",415ppm,26.950000762939453%RH,422ppm,0.12099999934434891ppb,28.3700008392334%RH,10.5ppb,0.06700000166893005ppb,418ppm,27.84000015258789%RH,29.079999923706055%RH,4.699999809265137ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.739999771118164%RH,22.700000762939453°C,22.809999465942383°C
2019-01-03T06:15:00-06:00 Chicago,21.530000686645508°C,26.239999771118164%RH,0.699999988079071ppb,397ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.25°C,0ppb,425ppm,0.0689999982714653ppb,0ppb,25.889999389648438%RH,23.059999465942383°C,0.08399999886751175ppb,425ppm,20.760000228881836°C,9.300000190734863ppb,402ppm,0.20000000298023224ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.739999771118164°C,0ppb,2164ppm,428ppm,22.479999542236328°C,29.299999237060547%RH,21.219999313354492°C,420ppm,0.15299999713897705ppb,27.350000381469727%RH,407ppm,"",1.399999976158142ppb,26.09000015258789%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",415ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,10ppb,0.06400000303983688ppb,418ppm,27.84000015258789%RH,29.1299991607666%RH,4.599999904632568ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.719999313354492%RH,22.700000762939453°C,22.799999237060547°C
2019-01-03T06:16:00-06:00 Chicago,21.530000686645508°C,26.229999542236328%RH,0.6000000238418579ppb,401ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.299999237060547°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.93000030517578%RH,23.079999923706055°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,9.300000190734863ppb,401ppm,0.2029999941587448ppb,0ppb,0.1080000028014183ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2165ppm,427ppm,22.469999313354492°C,29.18000030517578%RH,21.209999084472656°C,417ppm,0.15000000596046448ppb,27.389999389648438%RH,407ppm,"",0.6000000238418579ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",415ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,9.800000190734863ppb,0.06700000166893005ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,4.699999809265137ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.68000030517578%RH,22.700000762939453°C,22.809999465942383°C
2019-01-03T06:17:00-06:00 Chicago,21.540000915527344°C,26.229999542236328%RH,0.6000000238418579ppb,403ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.270000457763672°C,0ppb,426ppm,0.0689999982714653ppb,0ppb,25.90999984741211%RH,23.079999923706055°C,0.08399999886751175ppb,426ppm,20.760000228881836°C,9.600000381469727ppb,401ppm,0.2029999941587448ppb,0ppb,0.1080000028014183ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2165ppm,427ppm,22.479999542236328°C,29.34000015258789%RH,21.209999084472656°C,416ppm,0.15299999713897705ppb,27.420000076293945%RH,405ppm,"",0.8999999761581421ppb,26.040000915527344%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",416ppm,26.950000762939453%RH,423ppm,0.125ppb,28.329999923706055%RH,9.300000190734863ppb,0.06400000303983688ppb,419ppm,27.850000381469727%RH,29.1299991607666%RH,4.699999809265137ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.739999771118164%RH,22.700000762939453°C,22.809999465942383°C
