Timestamp,JCK-Floor 36-Focus Group 3631-temp,JCK-Floor 35-Focus Group 3515-humidity,JCK-Floor 33-Open Office 3369-pm25,JCK-Floor 35-IT 3544-co2,JCK-Floor 33-Open Office 3303-pm25,JCK-Floor 33-Open Office 3303-tvoc,JCK-Floor 35-Focus Group 3531-temp,JCK-Floor 36-Open Office 3651-pm25,JCK-Floor 36-Open Office 3651-temp,JCK-Floor 35-IT 3544-pm25,JCK-Floor 36-Open Office 3669-co2,JCK-Floor 33-Focus Group 3331-tvoc,JCK-Floor 35-Hub 3556-pm25,JCK-Floor 35-Focus Group 3531-humidity,JCK-Floor 35-Focus Group 3515-temp,JCK-Floor 36-Open Office 3669-tvoc,JCK-Floor 35-Focus Group 3531-co2,JCK-Floor 33-Open Office 3303-temp,JCK-Floor 33-Focus Group 3331-pm25,JCK-Floor 35-Focus Group 3515-co2,JCK-Floor 35-IT 3544-tvoc,JCK-Floor 36-Open Office 3669-pm25,JCK-Floor 33-Open Office 3369-tvoc,JCK-Floor 36-Focus Group 3631-tvoc,JCK-Floor 33-Focus Group 3331-temp,JCK-Floor 35-Focus Group 3531-pm25,JCK-Floor 36-Focus Group 3615-co2,JCK-Floor 36-Open Office 3651-co2,JCK-Floor 35-IT 3544-temp,JCK-Floor 36-Focus Group 3615-humidity,JCK-Floor 33-Open Office 3369-temp,JCK-Floor 35-Hub 3556-co2,JCK-Floor 35-Hub 3556-tvoc,JCK-Floor 35-IT 3544-humidity,JCK-Floor 33-Focus Group 3331-co2,JCK-Floor 33-Open Office 3351-pm25,JCK-Floor 35-Focus Group 3515-pm25,JCK-Floor 35-Hub 3556-humidity,JCK-Floor 33-Open Office 3351-co2,JCK-Floor 35-Focus Group 3531-tvoc,JCK-Floor 36-Open Office 3669-humidity,JCK-Floor 33-Open Office 3351-humidity,JCK-Floor 36-Focus Group 3631-co2,JCK-Floor 33-Open Office 3369-humidity,JCK-Floor 33-Open Office 3369-co2,JCK-Floor 36-Open Office 3651-tvoc,JCK-Floor 33-Focus Group 3331-humidity,JCK-Floor 36-Focus Group 3615-pm25,JCK-Floor 36-Focus Group 3615-tvoc,JCK-Floor 33-Open Office 3303-co2,JCK-Floor 36-Focus Group 3631-humidity,JCK-Floor 33-Open Office 3303-humidity,JCK-Floor 36-Focus Group 3631-pm25,JCK-Floor 33-Open Office 3351-tvoc,JCK-Floor 36-Focus Group 3615-temp,JCK-Floor 35-Focus Group 3515-tvoc,JCK-Floor 36-Open Office 3651-humidity,JCK-Floor 36-Open Office 3669-temp,JCK-Floor 35-Hub 3556-temp
2019-01-03T06:18:00-06:00 Chicago,21.530000686645508°C,26.209999084472656%RH,0.699999988079071ppb,402ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.25°C,0ppb,424.5ppm,0.0689999982714653ppb,0ppb,25.90999984741211%RH,23.110000610351562°C,0.08399999886751175ppb,426ppm,20.760000228881836°C,9.100000381469727ppb,400ppm,0.2029999941587448ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2165ppm,429ppm,22.5°C,29.299999237060547%RH,21.209999084472656°C,417ppm,0.15000000596046448ppb,27.40999984741211%RH,406ppm,"",0.5ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",417ppm,26.950000762939453%RH,423ppm,0.125ppb,28.329999923706055%RH,9.300000190734863ppb,0.06599999964237213ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,4.800000190734863ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.700000762939453%RH,22.700000762939453°C,22.829999923706055°C
2019-01-03T06:19:00-06:00 Chicago,21.530000686645508°C,26.209999084472656%RH,0.6000000238418579ppb,403ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.25°C,0ppb,423ppm,0.0689999982714653ppb,0ppb,25.940000534057617%RH,23.09000015258789°C,0.08399999886751175ppb,425ppm,20.75°C,10.600000381469727ppb,403ppm,0.2029999941587448ppb,0ppb,0.10999999940395355ppb,0.06199999898672104ppb,21.739999771118164°C,0ppb,2165ppm,429ppm,22.469999313354492°C,29.219999313354492%RH,21.200000762939453°C,418ppm,0.15000000596046448ppb,27.510000228881836%RH,406ppm,"",0.5ppb,26.1200008392334%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",416ppm,26.950000762939453%RH,424ppm,0.125ppb,28.329999923706055%RH,9.199999809265137ppb,0.06599999964237213ppb,420ppm,27.850000381469727%RH,29.1299991607666%RH,5ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.719999313354492%RH,22.700000762939453°C,22.829999923706055°C
2019-01-03T06:20:00-06:00 Chicago,21.530000686645508°C,26.18000030517578%RH,0.6000000238418579ppb,408ppm,0ppb,0.06599999964237213ppb,23.520000457763672°C,0ppb,24.299999237060547°C,0ppb,423ppm,0.0689999982714653ppb,0ppb,25.8799991607666%RH,23.079999923706055°C,0.08399999886751175ppb,423ppm,20.75°C,11.199999809265137ppb,401ppm,0.2029999941587448ppb,0ppb,0.10700000077486038ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2165ppm,427ppm,22.469999313354492°C,29.219999313354492%RH,21.209999084472656°C,419ppm,0.15000000596046448ppb,27.440000534057617%RH,406ppm,"",1.100000023841858ppb,26.06999969482422%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",417ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,9.399999618530273ppb,0.06700000166893005ppb,419ppm,27.790000915527344%RH,29.1299991607666%RH,4.900000095367432ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.700000762939453%RH,22.709999084472656°C,22.809999465942383°C
2019-01-03T06:21:00-06:00 Chicago,21.530000686645508°C,26.200000762939453%RH,0.699999988079071ppb,410ppm,0ppb,0.06599999964237213ppb,23.510000228881836°C,0ppb,24.299999237060547°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.90999984741211%RH,23.110000610351562°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,10.600000381469727ppb,400ppm,0.2029999941587448ppb,0ppb,0.10700000077486038ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2165ppm,429ppm,22.469999313354492°C,29.059999465942383%RH,21.209999084472656°C,418ppm,0.15000000596046448ppb,27.420000076293945%RH,406ppm,"",1.600000023841858ppb,26.010000228881836%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",417ppm,26.950000762939453%RH,420ppm,0.125ppb,28.329999923706055%RH,9.399999618530273ppb,0.06499999761581421ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.800000190734863ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.719999313354492%RH,22.719999313354492°C,22.809999465942383°C
2019-01-03T06:22:00-06:00 Chicago,21.540000915527344°C,26.200000762939453%RH,0.6000000238418579ppb,412ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.280000686645508°C,0ppb,423ppm,0.0689999982714653ppb,0.10000000149011612ppb,25.93000030517578%RH,23.110000610351562°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,9.600000381469727ppb,403ppm,0.2070000022649765ppb,0ppb,0.10700000077486038ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2166ppm,431ppm,22.469999313354492°C,29.059999465942383%RH,21.209999084472656°C,419ppm,0.15299999713897705ppb,27.420000076293945%RH,406ppm,"",1.100000023841858ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",417ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,9.5ppb,0.06499999761581421ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.800000190734863ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.739999771118164%RH,22.729999542236328°C,22.809999465942383°C
2019-01-03T06:23:00-06:00 Chicago,21.540000915527344°C,26.1299991607666%RH,0.6000000238418579ppb,411ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.280000686645508°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.93000030517578%RH,23.110000610351562°C,0.08399999886751175ppb,429ppm,20.760000228881836°C,9.399999618530273ppb,401ppm,0.2029999941587448ppb,0ppb,0.10700000077486038ppb,0.06199999898672104ppb,21.760000228881836°C,0.5ppb,2167ppm,432ppm,22.5°C,29.219999313354492%RH,21.219999313354492°C,416ppm,0.15000000596046448ppb,27.440000534057617%RH,407ppm,"",0.6000000238418579ppb,26.06999969482422%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",416ppm,26.950000762939453%RH,423ppm,0.125ppb,28.329999923706055%RH,9.800000190734863ppb,0.06400000303983688ppb,420ppm,27.809999465942383%RH,29.1299991607666%RH,4.300000190734863ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.739999771118164%RH,22.729999542236328°C,22.84000015258789°C
2019-01-03T06:24:00-06:00 Chicago,21.549999237060547°C,26.1299991607666%RH,0.6000000238418579ppb,409ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.270000457763672°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.860000610351562%RH,23.1200008392334°C,0.08399999886751175ppb,429ppm,20.760000228881836°C,9.399999618530273ppb,402ppm,0.2029999941587448ppb,0ppb,0.1080000028014183ppb,0.06199999898672104ppb,21.760000228881836°C,0.4000000059604645ppb,2167ppm,434ppm,22.469999313354492°C,29.18000030517578%RH,21.219999313354492°C,415ppm,0.15000000596046448ppb,27.489999771118164%RH,408ppm,"",0.20000000298023224ppb,26.06999969482422%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",416ppm,26.950000762939453%RH,423ppm,0.125ppb,28.329999923706055%RH,10.399999618530273ppb,0.06800000369548798ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.699999809265137ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.68000030517578%RH,22.729999542236328°C,22.829999923706055°C
2019-01-03T06:25:00-06:00 Chicago,21.540000915527344°C,26.1299991607666%RH,0.6000000238418579ppb,410ppm,0.10000000149011612ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.270000457763672°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.860000610351562%RH,23.1200008392334°C,0.08399999886751175ppb,431ppm,20.760000228881836°C,9.600000381469727ppb,401ppm,0.2029999941587448ppb,0ppb,0.1080000028014183ppb,0.06199999898672104ppb,21.760000228881836°C,0.30000001192092896ppb,2167ppm,429ppm,22.459999084472656°C,29.18000030517578%RH,21.219999313354492°C,415ppm,0.15000000596046448ppb,27.530000686645508%RH,407ppm,"",0.8999999761581421ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",416ppm,26.950000762939453%RH,422ppm,0.125ppb,28.329999923706055%RH,10.399999618530273ppb,0.06800000369548798ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.800000190734863ppb,"",19.889999389648438°C,0.05700000002980232ppb,25.700000762939453%RH,22.729999542236328°C,22.84000015258789°C
2019-01-03T06:26:00-06:00 Chicago,21.549999237060547°C,26.15999984741211%RH,0.6000000238418579ppb,412ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.280000686645508°C,0ppb,423ppm,0.0689999982714653ppb,0ppb,25.84000015258789%RH,23.1200008392334°C,0.08399999886751175ppb,431ppm,20.760000228881836°C,9.100000381469727ppb,409ppm,0.2029999941587448ppb,0ppb,0.10599999874830246ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2167ppm,428ppm,22.479999542236328°C,29.119999885559082%RH,21.229999542236328°C,414ppm,0.15000000596046448ppb,27.540000915527344%RH,407ppm,"",0.4000000059604645ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",416ppm,26.950000762939453%RH,423ppm,0.12099999934434891ppb,28.350000381469727%RH,9.799999713897705ppb,0.06700000166893005ppb,419ppm,27.809999465942383%RH,29.079999923706055%RH,4.400000095367432ppb,"",19.90499973297119°C,0.05700000002980232ppb,25.719999313354492%RH,22.739999771118164°C,22.84000015258789°C
2019-01-03T06:27:00-06:00 Chicago,21.540000915527344°C,26.15999984741211%RH,0.6000000238418579ppb,412ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.270000457763672°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.84000015258789%RH,23.110000610351562°C,0.08399999886751175ppb,430ppm,20.760000228881836°C,9.5ppb,407ppm,0.2070000022649765ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.75°C,0ppb,2167ppm,425ppm,22.469999313354492°C,29.059999465942383%RH,21.229999542236328°C,414ppm,0.15000000596046448ppb,27.559999465942383%RH,407ppm,"",0.8999999761581421ppb,26.059999465942383%RH,"",0.07100000232458115ppb,27.799999237060547%RH,"",416ppm,26.950000762939453%RH,424ppm,0.125ppb,28.329999923706055%RH,9.199999809265137ppb,0.06599999964237213ppb,418ppm,27.809999465942383%RH,29.1299991607666%RH,4.400000095367432ppb,"",19.920000076293945°C,0.05700000002980232ppb,25.75%RH,22.729999542236328°C,22.8700008392334°C
2019-01-03T06:28:00-06:00 Chicago,21.549999237060547°C,26.18000030517578%RH,0.699999988079071ppb,415ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.280000686645508°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.84000015258789%RH,23.1299991607666°C,0.08399999886751175ppb,429ppm,20.760000228881836°C,9.600000381469727ppb,403ppm,0.20999999344348907ppb,0ppb,0.1120000034570694ppb,0.06199999898672104ppb,21.75°C,0.20000000298023224ppb,2167ppm,426ppm,22.479999542236328°C,29.059999465942383%RH,21.239999771118164°C,417ppm,0.1459999978542328ppb,27.489999771118164%RH,407ppm,"",0ppb,26.239999771118164%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416ppm,26.950000762939453%RH,424ppm,0.125ppb,28.329999923706055%RH,9.600000381469727ppb,0.06300000101327896ppb,418ppm,27.809999465942383%RH,29.079999923706055%RH,4.5ppb,"",19.90999984741211°C,0.05700000002980232ppb,25.68000030517578%RH,22.729999542236328°C,22.8700008392334°C
2019-01-03T06:29:00-06:00 Chicago,21.540000915527344°C,26.18000030517578%RH,0.699999988079071ppb,413ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.280000686645508°C,0ppb,420ppm,0.0689999982714653ppb,0ppb,25.860000610351562%RH,23.1200008392334°C,0.08399999886751175ppb,428ppm,20.770000457763672°C,10.300000190734863ppb,401ppm,0.20999999344348907ppb,0ppb,0.11900000274181366ppb,0.06199999898672104ppb,21.760000228881836°C,0.4000000059604645ppb,2168ppm,428ppm,22.469999313354492°C,29.18000030517578%RH,21.239999771118164°C,421ppm,0.15000000596046448ppb,27.6299991607666%RH,408ppm,"",0.5ppb,26.219999313354492%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416ppm,26.950000762939453%RH,425ppm,0.125ppb,28.329999923706055%RH,9.800000190734863ppb,0.06300000101327896ppb,419ppm,27.770000457763672%RH,29.1299991607666%RH,4.5ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.739999771118164%RH,22.719999313354492°C,22.84000015258789°C
2019-01-03T06:30:00-06:00 Chicago,21.540000915527344°C,26.1299991607666%RH,0.6000000238418579ppb,411ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.270000457763672°C,0ppb,420ppm,0.0689999982714653ppb,0ppb,25.860000610351562%RH,23.1200008392334°C,0.08399999886751175ppb,428ppm,20.770000457763672°C,10.300000190734863ppb,402ppm,0.2070000022649765ppb,0ppb,0.12300000339746475ppb,0.06199999898672104ppb,21.760000228881836°C,0.4000000059604645ppb,2168ppm,427ppm,22.469999313354492°C,29.18000030517578%RH,21.239999771118164°C,421ppm,0.15000000596046448ppb,27.540000915527344%RH,408ppm,"",0ppb,26.219999313354492%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416ppm,26.950000762939453%RH,425ppm,0.12099999934434891ppb,28.329999923706055%RH,9.800000190734863ppb,0.06300000101327896ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.300000190734863ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.719999313354492%RH,22.719999313354492°C,22.84000015258789°C
2019-01-03T06:31:00-06:00 Chicago,21.540000915527344°C,26.1299991607666%RH,0.6000000238418579ppb,411ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.270000457763672°C,0ppb,421ppm,0.0689999982714653ppb,0ppb,25.875%RH,23.1200008392334°C,0.08399999886751175ppb,428.5ppm,20.765000343322754°C,9.700000286102295ppb,402ppm,0.2070000022649765ppb,0ppb,0.12300000339746475ppb,0.06199999898672104ppb,21.760000228881836°C,0.30000000447034836ppb,2168ppm,427ppm,22.469999313354492°C,29.15333366394043%RH,21.239999771118164°C,421.3333333333333ppm,0.15000000596046448ppb,27.540000915527344%RH,407ppm,"",0ppb,26.233332951863606%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416ppm,26.950000762939453%RH,425ppm,0.12099999934434891ppb,28.329999923706055%RH,9.600000063578287ppb,0.0633333350221316ppb,419ppm,27.809999465942383%RH,29.1299991607666%RH,4.300000190734863ppb,"",19.90333302815755°C,0.05700000002980232ppb,25.719999313354492%RH,22.716665903727215°C,22.859999974568684°C
2019-01-03T06:32:00-06:00 Chicago,21.545000076293945°C,26.139999389648438%RH,0ppb,418.5ppm,0ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.28499984741211°C,0ppb,422ppm,0.0689999982714653ppb,0ppb,25.889999389648438%RH,23.135000228881836°C,0.08399999886751175ppb,429ppm,20.760000228881836°C,9.100000381469727ppb,404ppm,0.20499999821186066ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.760000228881836°C,0.20000000298023224ppb,2168ppm,429ppm,22.454999923706055°C,29.126667022705078%RH,23.459999084472656°C,421.66666666666663ppm,0.15000000596046448ppb,27.550000190734863%RH,406ppm,"",0ppb,26.24666659037272%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416.5ppm,26.110000610351562%RH,423ppm,0.12299999967217445ppb,28.329999923706055%RH,9.399999936421711ppb,0.06366666903098425ppb,419ppm,27.789999961853027%RH,29.1299991607666%RH,4.400000095367432ppb,"",19.90666643778483°C,0.05700000002980232ppb,25.719999313354492%RH,22.713332494099937°C,22.879999796549477°C
2019-01-03T06:33:00-06:00 Chicago,21.549999237060547°C,26.149999618530273%RH,0ppb,426ppm,0ppb,0.06599999964237213ppb,23.579999923706055°C,0ppb,24.299999237060547°C,0ppb,423ppm,0.0689999982714653ppb,0ppb,25.84000015258789%RH,23.149999618530273°C,0.08399999886751175ppb,427ppm,20.760000228881836°C,9.199999809265137ppb,406ppm,0.2029999941587448ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.760000228881836°C,0.30000001192092896ppb,2168ppm,431ppm,22.440000534057617°C,29.100000381469727%RH,23.450000762939453°C,422ppm,0.15000000596046448ppb,27.559999465942383%RH,408ppm,"",0ppb,26.260000228881836%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",417ppm,26.110000610351562%RH,422ppm,0.125ppb,28.329999923706055%RH,9.199999809265137ppb,0.06400000303983688ppb,419ppm,27.770000457763672%RH,29.1299991607666%RH,4.5ppb,"",19.90999984741211°C,0.05700000002980232ppb,25.719999313354492%RH,22.709999084472656°C,22.899999618530273°C
2019-01-03T06:34:00-06:00 Chicago,21.549999237060547°C,26.1200008392334%RH,0ppb,419ppm,0.15000000596046448ppb,0.06599999964237213ppb,23.549999237060547°C,0ppb,24.280000686645508°C,0ppb,424ppm,0.0689999982714653ppb,0ppb,25.889999389648438%RH,23.1299991607666°C,0.08399999886751175ppb,429ppm,20.760000228881836°C,9.300000190734863ppb,409ppm,0.2029999941587448ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.760000228881836°C,0.20000000298023224ppb,2169ppm,431ppm,22.440000534057617°C,29.18000030517578%RH,23.459999084472656°C,423ppm,0.15000000596046448ppb,27.510000228881836%RH,407ppm,"",0.10000000149011612ppb,26.280000686645508%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",416ppm,26.15999984741211%RH,422ppm,0.12099999934434891ppb,28.329999923706055%RH,10.600000381469727ppb,0.06300000101327896ppb,420.5ppm,27.770000457763672%RH,29.104999542236328%RH,4.400000095367432ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.719999313354492%RH,22.700000762939453°C,22.899999618530273°C
2019-01-03T06:35:00-06:00 Chicago,21.540000915527344°C,26.149999618530273%RH,0ppb,416ppm,0.30000001192092896ppb,0.06599999964237213ppb,23.56999969482422°C,0ppb,24.270000457763672°C,0ppb,424ppm,0.0689999982714653ppb,0ppb,25.8799991607666%RH,23.149999618530273°C,0.08399999886751175ppb,432ppm,20.760000228881836°C,9.300000190734863ppb,404ppm,0.20000000298023224ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.760000228881836°C,0.4000000059604645ppb,2169ppm,429ppm,22.43000030517578°C,29.139999389648438%RH,23.459999084472656°C,423ppm,0.15000000596046448ppb,27.59000015258789%RH,407ppm,"",0.8999999761581421ppb,26.260000228881836%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",417ppm,26.15999984741211%RH,422ppm,0.125ppb,28.329999923706055%RH,10.100000381469727ppb,0.06499999761581421ppb,422ppm,27.770000457763672%RH,29.079999923706055%RH,4.800000190734863ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.739999771118164%RH,22.709999084472656°C,22.899999618530273°C
2019-01-03T06:36:00-06:00 Chicago,21.549999237060547°C,26.1200008392334%RH,0ppb,413ppm,0ppb,0.06599999964237213ppb,23.540000915527344°C,0ppb,24.280000686645508°C,0ppb,424ppm,0.0689999982714653ppb,0ppb,25.8799991607666%RH,23.149999618530273°C,0.08399999886751175ppb,432ppm,20.760000228881836°C,9.050000190734863ppb,401ppm,0.2029999941587448ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.755000114440918°C,0.30000001192092896ppb,2169ppm,429ppm,22.459999084472656°C,29.18000030517578%RH,23.459999084472656°C,424ppm,0.15000000596046448ppb,27.649999618530273%RH,406ppm,"",0.20000000298023224ppb,26.229999542236328%RH,"",0.07100000232458115ppb,27.829999923706055%RH,"",419ppm,26.110000610351562%RH,421ppm,0.125ppb,28.329999923706055%RH,10ppb,0.06499999761581421ppb,420ppm,27.770000457763672%RH,29.1299991607666%RH,4.599999904632568ppb,"",19.899999618530273°C,0.05299999937415123ppb,25.700000762939453%RH,22.700000762939453°C,22.899999618530273°C
2019-01-03T06:37:00-06:00 Chicago,21.540000915527344°C,26.1200008392334%RH,0ppb,413ppm,0.20000000298023224ppb,0.06599999964237213ppb,23.56999969482422°C,0ppb,24.270000457763672°C,0ppb,423ppm,0.0689999982714653ppb,0ppb,25.8799991607666%RH,23.15999984741211°C,0.08399999886751175ppb,430ppm,20.760000228881836°C,8.800000190734863ppb,403ppm,0.2029999941587448ppb,0ppb,0.10899999737739563ppb,0.06199999898672104ppb,21.75°C,0.30000001192092896ppb,2170ppm,432ppm,22.459999084472656°C,29.219999313354492%RH,23.459999084472656°C,428ppm,0.1459999978542328ppb,27.6299991607666%RH,405ppm,"",0.20000000298023224ppb,26.280000686645508%RH,"",0.07100000232458115ppb,27.81999969482422%RH,"",421ppm,26.15999984741211%RH,421ppm,0.125ppb,28.329999923706055%RH,9.600000381469727ppb,0.06599999964237213ppb,421ppm,27.770000457763672%RH,29.079999923706055%RH,5.300000190734863ppb,"",19.899999618530273°C,0.05700000002980232ppb,25.719999313354492%RH,22.700000762939453°C,22.899999618530273°C
